DIA,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1-jan,,388,475,426,342,413,478,493,493,530,551,535,529,505,525,541,527,583,549,435,483,517,499,,519,516,554,507,550,530,524,532,522,468,496,543,485,514,483,518,546,507,475,529,405,454,499,493
2-jan,,390,480,429,344,413,479,495,496,532,553,535,531,506,526,543,527,584,550,437,488,520,500,,519,518,554,514,551,531,526,534,523,470,498,545,488,515,485,520,548,507,477,531,405,455,505,496
3-jan,,395,484,431,343,412,482,496,498,533,555,536,534,507,528,547,528,586,551,441,492,522,502,,520,520,555,514,553,533,528,534,524,471,499,545,495,515,487,522,549,507,479,534,406,455,505,498
4-jan,,398,487,434,342,411,484,498,499,534,557,537,535,510,530,549,530,587,551,445,497,523,507,,522,522,555,519,555,534,530,535,526,469,500,545,488,515,490,526,550,507,481,534,408,455,500,501
5-jan,,400,489,436,344,409,486,500,501,535,559,538,537,512,532,550,535,589,552,449,502,525,510,,525,524,555,521,556,536,532,536,530,466,501,547,499,515,495,530,551,507,482,536,411,455,500,504
6-jan,,400,492,438,347,409,486,502,503,535,561,540,539,515,534,550,536,589,552,456,507,532,511,,525,526,555,522,558,538,534,536,531,463,502,549,500,514,498,532,552,507,484,536,414,457,500,506
7-jan,,400,494,439,351,410,487,502,505,536,562,543,543,519,536,551,536,588,554,461,511,536,512,,526,528,556,523,560,540,536,537,531,463,503,551,501,513,500,534,553,507,488,538,418,458,499,508
8-jan,,399,495,439,354,410,487,504,506,538,567,545,546,522,538,553,536,587,556,463,515,539,515,,526,529,556,525,561,542,538,539,531,466,504,552,502,513,503,536,554,509,490,539,423,459,497,511
9-jan,,397,497,439,359,410,488,505,506,539,569,546,548,524,540,555,536,587,557,467,517,541,516,,526,530,557,530,562,544,541,539,531,466,505,553,503,513,504,538,555,510,492,541,426,460,496,513
10-jan,,396,499,440,361,410,489,506,507,539,570,549,550,526,542,561,537,588,557,469,519,541,518,,532,532,558,531,564,545,544,537,533,467,506,554,505,513,506,540,555,510,494,545,436,462,494,514
11-jan,,399,501,440,363,409,489,507,509,540,571,550,553,528,544,563,538,587,557,470,521,543,520,,,533,559,532,565,545,546,536,534,470,506,556,506,513,510,543,555,512,497,547,440,464,494,515
12-jan,,401,503,440,365,408,489,508,510,540,571,552,556,529,546,566,538,586,558,474,523,544,522,,,533,560,533,566,546,547,540,536,470,506,561,508,513,512,547,556,513,499,548,444,469,494,516
13-jan,,405,505,441,366,406,489,510,511,541,571,554,557,533,548,567,538,586,558,479,525,545,524,,,533,561,533,567,547,548,541,538,471,507,562,509,513,514,548,556,514,501,547,449,473,493,518
14-jan,,406,507,442,366,405,489,512,512,541,571,557,559,536,549,568,539,585,558,479,527,550,526,,,534,561,535,567,551,549,539,540,472,507,563,510,513,516,549,557,516,504,549,460,476,495,519
15-jan,,407,509,447,366,405,489,514,512,540,573,561,563,537,550,569,544,585,560,481,529,549,528,,,534,560,535,568,552,551,539,541,472,506,566,512,516,518,550,557,517,506,549,464,477,495,520
16-jan,,406,510,446,366,406,492,516,514,541,573,562,567,539,551,571,544,584,566,485,530,549,530,,,536,560,535,569,552,553,538,543,472,504,566,514,517,519,551,556,518,509,550,470,478,495,521
17-jan,,406,512,444,367,408,492,517,515,542,576,563,571,541,552,572,544,584,566,485,532,550,532,,,539,560,536,573,554,555,536,544,471,503,566,516,518,521,553,556,518,511,550,476,481,495,522
18-jan,,407,513,444,368,409,492,519,516,542,580,566,572,543,556,575,545,583,566,487,534,550,532,,,539,561,537,576,558,556,538,545,471,502,568,518,519,523,553,556,519,513,550,480,484,496,522
19-jan,,412,514,444,372,411,494,521,517,542,583,566,574,544,558,576,546,584,566,488,535,550,533,,,540,561,538,581,559,558,536,546,470,501,569,521,520,525,554,565,520,517,551,485,486,496,521
20-jan,,417,518,445,375,412,505,523,518,542,587,576,578,546,559,577,547,583,567,489,536,551,534,,,540,562,539,585,561,560,534,547,469,500,570,523,521,528,555,,521,518,552,492,487,497,520
