"day","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"01-Jan",NA,2630,3180,27900,15400,28100,5550,6690,7800,7610,6180,21400,4210,4180,5600,3690,5000,10700,2060,5840,13300,3940,6780,5400,61300,3410,2370,7830,2830,6060,29800,17300,6750,12700,9460,34600,42700,36500,13100,8480,11400,6440,12200,2820,4410,45500,34700,5250,9180,12100,3410,26500,13500,16100,3550,10600,5520,5710,17600,8740,32600,8060,2200,9030,8200,32900,14200,5170,4910,27100,2890,13000,23600,2810,23500,42800,9720,17400,25200,8190
"02-Jan",NA,2710,3180,26400,18400,28600,7820,7460,7650,10500,6520,19400,3980,4100,5400,3780,4380,7300,2000,5620,11600,6350,6540,6300,55600,3010,2310,12100,2960,7970,31300,17100,8170,13600,8790,34100,43100,36000,15100,8820,10100,10100,10900,2800,7890,46700,32400,5290,7040,10000,3440,31200,11400,16900,3450,9350,5480,5750,13200,8390,28700,8750,2180,7340,7060,31900,14400,4970,4710,30300,2490,11500,21500,5020,20500,45000,8690,16600,21900,9550
"03-Jan",NA,2860,3020,24500,20600,26500,9280,8440,6710,14800,6880,18200,3830,4180,5220,3600,3960,6060,1940,5400,10500,8540,6660,6060,51100,2690,2370,14500,3860,8110,30500,16700,8630,13100,9830,34100,44000,35200,18900,9700,8930,13400,9640,2780,12000,47400,30000,5420,5740,10400,3320,31700,10300,17500,3540,8170,6770,5380,11500,8200,25400,10100,3000,7580,6200,31200,13900,4790,4570,31300,2260,10700,19500,9890,17300,45500,8310,15100,18300,9720
"04-Jan",NA,3100,2940,22600,20600,21300,10200,8440,6960,16800,6520,17200,4050,6700,4960,3240,3800,5840,1880,5190,9460,8690,7300,5290,47800,2440,2500,14500,6290,7300,28300,16200,8940,13200,18000,33400,44400,33700,19000,10400,8200,15200,8150,2770,11800,47600,27600,5100,5160,13300,4300,30700,13100,17200,3560,7650,8310,5170,12500,8030,24800,12000,4000,7980,5550,30900,13500,4880,4290,32100,2140,11400,17300,13000,13700,45300,7980,17500,14300,11200
"05-Jan",NA,3980,2780,20400,18000,16100,9130,8060,12500,17700,6180,16700,4610,8010,4800,3060,3800,5840,1820,4790,8690,7970,8690,5090,46700,2310,2700,12800,11100,6300,25700,15400,9540,13900,24500,32400,44600,32500,18100,10300,7760,15500,7220,2760,10700,47200,26000,4790,4790,15400,4670,28900,16600,15700,3400,7320,9160,5340,11800,7250,27700,11900,5190,7850,6040,30600,13000,4830,3980,32400,2040,11600,15000,13300,10600,45300,7550,20300,11100,12000
"06-Jan",NA,5020,2780,18400,16200,13700,7350,9980,16800,17700,6180,18800,10100,9290,4560,2820,3640,5620,1760,4330,8540,7560,10100,4990,47800,2250,3020,10500,13300,5620,22600,14000,10700,12600,26400,30700,45200,32200,17500,10300,7500,15200,7330,2820,10300,46300,24400,4820,4640,13800,4470,26000,22000,13500,3190,6930,8950,6480,10300,6580,35300,10100,4820,7360,6640,29200,12800,4620,3770,33900,1960,15000,13000,11900,8430,44800,6960,21800,8990,11000
"07-Jan",NA,6430,2710,16600,13400,13500,6800,13300,17700,16000,6070,22100,18800,11000,4260,2740,3560,4990,1760,4010,8110,7040,11400,6460,47800,2180,3860,9460,13900,5190,21300,12600,11600,11400,26700,30400,45700,36100,17300,10100,7660,15200,7470,3020,11300,45800,22500,4810,5080,11400,4970,22000,29100,10900,3210,8620,8590,6940,9510,6690,44300,8980,3980,6820,5940,25600,15000,5250,3660,36200,1910,21500,11200,11000,6780,43800,6620,22300,7880,8890
"08-Jan",NA,5350,2780,15000,10200,15000,6800,15700,18200,15100,5960,24600,24600,11700,4040,3060,3400,4250,1760,3710,7430,6780,13000,11200,46700,2180,4250,8390,12500,4790,20600,11400,12700,10500,27600,30200,45900,42700,16400,8960,8640,15600,7670,3180,12100,45100,20300,4690,5450,9810,5310,18800,32800,8860,4940,10600,8310,5890,9680,7860,45600,9160,3430,6530,6960,21100,17100,6580,3600,38200,2040,27700,9870,10500,5660,43500,6380,22200,7170,6610
"09-Jan",NA,4540,2860,13300,8410,15700,6050,16600,18700,15100,5630,28000,29500,14300,3900,4150,3330,3780,1760,3500,6780,6540,13900,12800,43500,2180,5090,6910,10800,4330,20000,9620,13000,9140,27700,30400,46500,47400,15100,9920,8820,16900,8980,3210,10700,44400,18700,4550,5280,9010,5100,17300,34500,8580,7420,11200,8240,6770,10800,10400,50700,10100,3230,7000,8040,16400,17200,7800,3540,39500,2550,32900,8830,9440,5100,42400,5800,21300,6730,5830
"10-Jan",NA,4620,2860,11500,7550,15300,5350,15700,18700,16000,5440,29500,37700,14000,3830,3780,3720,3500,1760,3290,6300,6060,13600,10600,40400,2250,8110,6300,10100,3860,20600,7700,13200,7970,28600,30700,47000,47400,14000,13500,8990,18500,9600,3420,9780,42900,17600,4360,5730,8850,4900,17100,35400,11500,6230,13600,9040,7870,11300,15200,53200,11300,3840,6870,7470,13300,17100,9520,3340,40400,2690,37200,8120,8340,5760,43000,5060,19700,6800,5540
