"day","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"01-Jan",6.1,1.3,0.7,0.7,0.6,0.4,0.7,0.3,0.6,3.1,1.2,1.1,1.1,1.4,1.5,1.1,0.7,1.2,1.2,1.5,1.3,1,1,2,1.3,1.4,3.1,3,0.8,1.1,1.4,1.6,1.4,1.2,1,2,11,2620,69,2,2,1,2,2,8,4,2,1,1,1,1,3,1.8,2.9,2.3,1.6,1,3,2,2,1
"02-Jan",6.4,1.4,0.7,0.7,0.6,0.4,1,0.3,0.6,3.1,1.2,1.1,1.1,1.4,1.5,1,0.7,1.2,1.2,1.6,1.3,1,1,1.9,1.3,1.4,3.1,3,0.8,1,1.4,1.6,1.4,1.2,1,1,11,2630,68,2,2,1,3,2,8,4,2,1,1,1,1,3,1.8,2.9,2.3,1.6,1,3,2,2,1
"03-Jan",6.2,1.3,0.6,0.7,0.6,0.3,1.4,0.3,0.6,3.1,1.2,1,1.1,1.4,1.5,1,0.7,1.2,1.2,1.6,1.3,1,1,1.8,1.2,1.4,3.1,3,0.8,1,1.4,1.7,1.4,1.1,1,1,11,2640,67,2,2,1,50,2,8,4,2,1,1,1,1,3,1.8,2.9,2.3,1.6,1,3,2,2,1
"04-Jan",5.3,1.1,0.6,0.7,0.5,0.3,1,0.3,0.6,3.1,1.2,0.9,1.2,1.5,1.5,1,0.7,1.2,1.2,1.5,1.3,1,1,1.7,1.1,1.4,3.2,2.9,0.8,1,1.4,1.7,1.4,1.1,1,1,11,2640,65,2,2,1,3,2,8,4,2,1,1,1,2,3,1.8,4.3,2.3,1.6,1,3,2,2,1
"05-Jan",5.5,1,0.6,0.8,0.5,0.3,0.6,0.3,0.6,3.1,1.2,0.8,1.2,1.5,1.5,1,0.7,1.2,1.2,1.5,1.3,1,1,1.6,1.1,1.4,3.2,2.9,0.8,1,1.4,1.7,1.3,1.1,1,1,11,2600,64,2,2,1,3,2,8,4,1,1,1,1,2,3,1.8,5.6,2.3,1.6,1,3,2,2,1
"06-Jan",4.6,1.1,0.6,0.8,0.5,0.3,0.3,0.3,0.6,3.1,1.2,1.3,1.1,1.5,1.5,1,0.7,1.2,1.2,1.5,1.3,1,1,1.6,1,1.5,3.2,2.9,0.8,1,1.4,1.8,1.3,1.2,1,1,12,2620,64,3,2,1,3,2,8,4,1,1,1,1,2,3,1.8,5.6,2.3,1.6,1,3,2,2,1
"07-Jan",5.3,1.2,0.6,0.8,0.5,0.3,0.4,0.3,0.6,3.1,1.2,1.3,1.1,1.5,1.5,1,0.8,1.3,1.2,1.5,1.3,1,1,1.5,1,1.7,3.2,2.9,0.8,0.9,1.4,1.8,1.2,1.2,1,1,12,2610,64,3,2,1,3,2,8,4,1,1,1,1,3,3,1.8,5.6,2.3,1.6,1,3,2,2,1
"08-Jan",5.5,1.3,0.6,0.8,0.5,0.3,0.5,0.3,0.6,3.1,1.2,1.3,1.1,1.5,1.5,1,0.8,1.3,1.2,1.4,1.3,1,1,1.4,1,1.5,3.2,2.9,0.8,0.8,1.4,1.8,1.2,1.2,1,1,12,2610,64,3,2,1,3,2,8,4,1,1,1,1,3,3,1.8,5.6,2.3,1.6,1,3,2,2,1
"09-Jan",6.3,1.3,0.6,0.8,0.5,0.3,0.6,0.3,0.6,3.1,1.2,1.3,1.1,1.5,1.5,1,0.9,1.3,1.2,1.4,1.3,1,1,1.4,1,1.6,3.2,2.9,0.8,0.8,1.4,1.7,1.1,1.2,1,2,12,2170,64,3,2,1,188,2,8,4,1,1,1,1,3,3,1.8,5.6,2.3,1.6,1,3,2,2,1
"10-Jan",5.2,1.3,0.6,0.7,0.5,0.3,0.6,0.3,0.6,3.1,1.2,1.3,1.1,1.5,1.5,1,0.9,1.4,1.2,1.4,1.3,1,1,1.3,1,1.5,3.2,2.9,0.8,0.8,1.4,1.7,1.1,1.2,1,2,12,2070,64,2,2,1,373,2,8,4,1,1,1,1,3,3,1.8,5.6,2.3,1.6,1,3,2,1,1
