"day","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"01-Jan",1000,2000,1500,620,840,740,380,500,1350,300,480,330,200,1480,800,860,2160,1800,580,1620,1400,1120,2500,1200,1900,1400,1670,190,1450,765,1470,313,1190,1590,1590,1530,2180,2250,608,270,125,166,490,910,1600,2290,2100,1950,2770,1800,2500,2750,2200,1290,570,2310,3340,890,1050,1900,2220
"02-Jan",980,2000,1500,640,840,730,380,500,1350,320,500,320,200,1500,800,860,2150,1800,560,1620,1400,1120,2500,1210,1880,1400,1670,190,1440,760,1450,313,1210,1550,1570,1500,2180,2210,602,269,125,161,485,894,1550,2250,2110,1950,2700,1800,2450,2700,2150,1290,590,2300,3350,890,1050,1940,2200
"03-Jan",960,2000,1500,640,840,720,390,480,1300,330,540,310,200,1480,790,860,2150,1800,550,1620,1390,1110,2450,1220,1880,1400,1670,200,1440,760,1430,313,1220,1490,1590,1490,2180,2210,600,267,125,156,480,879,1520,2200,2110,1950,2620,1800,2450,2700,2100,1250,600,2300,3360,910,1050,1980,2180
"04-Jan",920,2000,1500,640,840,720,390,470,1300,330,560,310,210,1480,790,860,2110,1800,540,1600,1390,1110,2450,1200,1860,1400,1670,200,1440,755,1410,313,1220,1490,1620,1450,2180,2220,575,265,125,156,480,818,1500,2190,2110,1950,2550,1800,2400,2700,2100,1220,605,2300,3380,945,1080,2010,2160
"05-Jan",900,2000,1600,640,840,710,400,470,1350,340,580,320,220,1480,780,860,2110,1800,530,1580,1390,1110,2400,1200,1840,1390,1660,200,1440,750,1400,313,1220,1520,1620,1400,2180,2230,537,262,130,161,475,757,1480,2110,2100,1950,2400,1800,2400,2700,2050,1200,620,2290,3380,960,1110,2010,2140
"06-Jan",880,2000,1600,650,820,710,410,480,1300,340,600,330,230,1500,780,860,2100,1800,520,1580,1390,1110,2400,1200,1760,1390,1660,200,1440,745,1380,313,1220,1530,1640,1380,2050,2180,530,258,138,166,470,726,1450,2090,2100,1950,2300,1800,2350,2700,2000,1200,620,2290,3390,952,1130,1990,2120
"07-Jan",860,2000,1600,640,820,700,420,480,1300,360,600,340,230,1520,780,860,2100,1800,510,1580,1390,1120,2350,1200,1740,1400,1660,200,1430,740,1380,313,1210,1540,1660,1360,2020,2070,510,258,138,166,472,742,1400,2010,2100,2000,2200,1800,2300,2700,2000,1160,610,2280,3400,945,1150,1950,2120
"08-Jan",840,2000,1600,620,820,700,430,480,1300,360,600,340,220,1540,770,860,2090,1800,500,1560,1390,1120,2300,1150,1740,1390,1650,200,1430,740,1380,313,1190,1550,1650,1340,2040,1980,490,244,148,171,503,742,1450,2000,2100,2000,2100,1800,2250,2700,2000,1160,600,2280,3410,925,1160,1900,2090
"09-Jan",840,2000,1600,620,820,700,430,470,1350,360,590,340,210,1560,770,860,2080,1800,500,1560,1380,1110,2250,1120,1690,1380,1650,200,1420,735,1380,313,1190,1610,1590,1320,2080,1970,460,244,156,181,526,742,1500,1950,2100,2000,2050,1800,2250,2700,2100,1140,590,2270,3430,906,1170,1840,2050
"10-Jan",840,2000,1600,620,820,700,430,460,1300,370,590,340,205,1560,770,870,2080,1800,500,1560,1380,1100,2160,1100,1690,1400,1650,200,1400,730,1380,313,1180,1650,1590,1320,2040,1970,440,240,161,181,550,742,1550,1920,2100,2000,2050,1800,2250,2700,2200,1160,580,2260,3450,885,1160,1770,2020
