"day","2005","2006","2007","2008","2009","2010"
"01-Jan",NA,921,853,610,876,624
"02-Jan",NA,865,844,720,898,696
"03-Jan",NA,855,832,704,897,748
"04-Jan",NA,863,834,733,900,769
"05-Jan",NA,863,831,812,820,781
"06-Jan",NA,924,792,720,715,820
"07-Jan",NA,988,789,723,669,816
"08-Jan",NA,978,836,736,774,820
"09-Jan",NA,809,817,900,870,819
"10-Jan",NA,747,775,971,909,797
"11-Jan",NA,726,745,856,918,757
"12-Jan",NA,704,737,821,916,762
"13-Jan",NA,692,736,770,879,767
"14-Jan",NA,650,747,787,901,763
"15-Jan",NA,638,756,787,903,817
"16-Jan",NA,608,755,802,911,836
"17-Jan",NA,570,741,763,907,833
"18-Jan",NA,564,732,708,900,822
"19-Jan",NA,558,706,663,897,823
"20-Jan",NA,556,699,678,906,846
"21-Jan",NA,552,695,637,924,920
"22-Jan",NA,558,689,580,912,878
"23-Jan",NA,590,686,603,911,872
"24-Jan",NA,613,680,640,901,987
"25-Jan",NA,616,709,731,841,902
"26-Jan",NA,587,713,785,846,878
"27-Jan",NA,571,703,859,845,869
"28-Jan",NA,570,679,783,843,842
"29-Jan",NA,555,686,802,843,822
"30-Jan",NA,557,692,845,857,813
"31-Jan",NA,565,681,792,894,798
"01-Feb",NA,571,642,801,910,775
"02-Feb",NA,592,642,756,860,771
"03-Feb",NA,626,653,732,838,790
"04-Feb",NA,648,662,745,815,798
"05-Feb",NA,663,660,795,833,795
"06-Feb",NA,675,660,784,894,797
"07-Feb",NA,662,659,790,907,801
"08-Feb",NA,674,637,765,907,807
"09-Feb",NA,700,632,784,893,815
"10-Feb",NA,716,649,781,893,824
"11-Feb",NA,702,670,786,858,812
"12-Feb",NA,696,670,786,899,762
"13-Feb",NA,693,667,785,850,742
"14-Feb",NA,704,644,815,907,733
"15-Feb",NA,697,649,969,886,746
"16-Feb",NA,646,664,995,909,768
"17-Feb",NA,612,636,831,899,791
"18-Feb",NA,633,655,852,876,789
"19-Feb",NA,656,651,951,912,742
"20-Feb",NA,654,634,1040,871,637
"21-Feb",NA,652,639,1020,985,665
"22-Feb",NA,653,645,1070,960,749
"23-Feb",NA,661,616,1060,1030,765
"24-Feb",NA,664,608,1190,1060,752
"25-Feb",NA,673,600,1230,1000,765
"26-Feb",NA,678,608,820,758,720
"27-Feb",NA,683,633,1070,772,674
"28-Feb",NA,673,682,1340,797,709
"29-Feb",NA,NA,NA,1510,NA,NA
"01-Mar",NA,574,640,1350,820,664
"02-Mar",NA,527,603,1350,869,609
"03-Mar",NA,469,588,1400,909,603
"04-Mar",NA,427,584,1490,807,567
"05-Mar",NA,456,566,1450,816,540
"06-Mar",NA,471,557,1750,884,541
"07-Mar",NA,456,561,1750,914,578
"08-Mar",NA,415,574,1560,908,610
"09-Mar",NA,352,577,1340,800,640
"10-Mar",NA,351,564,1100,765,704
"11-Mar",NA,259,592,679,793,639
"12-Mar",NA,357,610,849,881,652
"13-Mar",NA,351,578,1310,879,679
"14-Mar",NA,323,553,1600,717,637
"15-Mar",NA,271,569,1690,735,634
"16-Mar",NA,209,628,1740,826,628
"17-Mar",NA,194,716,1840,699,560
"18-Mar",NA,193,803,1750,603,536
"19-Mar",NA,193,869,1560,640,554
"20-Mar",NA,192,864,1850,546,551
"21-Mar",NA,189,908,1610,543,599
"22-Mar",NA,185,1110,1670,476,644
"23-Mar",NA,182,1150,1600,476,649
"24-Mar",NA,185,1200,1540,460,609
"25-Mar",NA,186,1330,1610,464,631
"26-Mar",NA,184,1440,1920,524,720
"27-Mar",NA,179,1200,1880,874,772
"28-Mar",NA,164,1150,2040,1260,820
"29-Mar",NA,163,1090,2320,1280,845
"30-Mar",NA,162,1050,2720,1330,811
"31-Mar",NA,150,1010,2790,1330,682
"01-Apr",NA,142,922,2870,1380,679
"02-Apr",NA,151,881,2950,1410,745
"03-Apr",NA,149,857,2870,1440,900
"04-Apr",NA,148,816,2590,1320,957
"05-Apr",NA,139,818,2500,1380,987
"06-Apr",NA,135,806,2590,1320,964
"07-Apr",NA,132,874,2670,970,1050
"08-Apr",NA,133,912,2580,789,1150
"09-Apr",NA,137,1040,2490,706,1070
"10-Apr",NA,135,905,2670,606,1000
"11-Apr",NA,137,951,2870,655,917
"12-Apr",NA,144,1010,2620,587,877
"13-Apr",NA,153,1050,2540,668,957
"14-Apr",NA,160,1100,2580,787,1110
"15-Apr",NA,170,1080,2530,798,2130
"16-Apr",NA,168,1060,2390,1020,1970
"17-Apr",NA,171,961,2310,1040,1830
"18-Apr",NA,205,922,2270,1190,1510
"19-Apr",NA,171,838,2250,1330,1700
"20-Apr",NA,176,751,2460,1520,1850
"21-Apr",NA,166,626,2520,1340,2540
"22-Apr",NA,161,726,2520,1250,3190
"23-Apr",NA,161,797,2430,1130,2600
"24-Apr",NA,169,690,2460,1080,1970
"25-Apr",NA,171,601,2540,1100,2670
"26-Apr",NA,171,595,2580,1660,2860
"27-Apr",NA,168,657,2740,2060,2930
"28-Apr",NA,156,551,3120,2260,2290
"29-Apr",NA,157,456,3570,2290,2160
"30-Apr",NA,156,499,3790,2400,2070
"01-May",NA,159,538,3710,2520,1860
"02-May",NA,164,473,3640,2560,1730
"03-May",NA,159,617,3390,2640,1890
"04-May",NA,153,1210,3290,2580,1950
"05-May",NA,154,1840,3480,2770,2050
"06-May",NA,155,2000,3510,3150,2370
"07-May",NA,157,2120,3570,3380,2010
"08-May",NA,156,2020,3580,3340,2070
"09-May",NA,155,1950,3410,3440,2140
"10-May",NA,157,2020,3520,3630,2290
"11-May",NA,156,1900,3780,4450,2180
"12-May",NA,159,1880,3860,4110,2540
"13-May",NA,166,1880,3920,4220,2610
"14-May",NA,168,1930,3770,4120,2280
"15-May",NA,175,1890,3620,4000,1940
"16-May",NA,173,1950,3720,3920,1560
"17-May",NA,162,1990,3540,3760,1480
"18-May",NA,159,2020,3270,3940,1380
"19-May",NA,166,2150,3200,3640,1340
"20-May",NA,158,2430,3300,3360,1860
"21-May",NA,153,3010,2860,3090,2170
"22-May",NA,146,2960,2750,2880,3460
"23-May",NA,143,2780,2890,2960,3270
"24-May",NA,140,2550,3770,2690,2970
"25-May",NA,136,2300,4330,3320,3420
"26-May",NA,150,2210,4750,3610,3370
"27-May",NA,148,2040,4840,3310,2370
"28-May",NA,157,1980,4500,2750,2020
"29-May",NA,155,1930,3900,1920,2020
"30-May",NA,160,1760,3300,1640,2070
"31-May",NA,170,1700,3230,1330,1940
"01-Jun",NA,187,1490,3260,1140,1920
"02-Jun",NA,187,1460,3680,1040,1720
"03-Jun",NA,187,1050,3820,1360,1470
"04-Jun",NA,189,878,3830,2110,1310
"05-Jun",NA,187,886,3800,2200,1210
"06-Jun",NA,187,1020,3770,2380,1020
"07-Jun",NA,184,1220,3760,2440,850
"08-Jun",NA,184,1020,3710,2400,741
"09-Jun",NA,180,946,3840,2340,624
"10-Jun",NA,184,891,3950,2220,636
"11-Jun",NA,175,830,4140,2310,661
"12-Jun",NA,172,783,3970,2400,577
"13-Jun",NA,169,717,2780,2450,489
"14-Jun",NA,165,615,2650,2150,492
"15-Jun",NA,159,547,2600,1850,499
"16-Jun",NA,155,471,2500,1880,553
"17-Jun",NA,156,440,2410,1740,522
"18-Jun",NA,156,540,2340,1610,483
"19-Jun",NA,152,550,2070,1430,456
"20-Jun",NA,148,472,1940,1140,381
"21-Jun",NA,140,405,1820,861,292
"22-Jun",NA,131,315,1870,898,191
"23-Jun",NA,118,262,1950,683,161
"24-Jun",NA,110,220,2020,556,190
"25-Jun",NA,100,212,1940,537,163
"26-Jun",NA,93.8,216,1780,425,128
"27-Jun",NA,153,205,1630,338,105
"28-Jun",NA,249,192,1490,405,98.8
"29-Jun",NA,594,173,1550,600,183
"30-Jun",NA,838,146,1550,568,243
"01-Jul",NA,437,148,1660,730,274
"02-Jul",NA,334,125,1530,962,374
"03-Jul",NA,246,97.6,1760,1110,305
"04-Jul",NA,180,85,1890,1070,290
"05-Jul",NA,205,83,1640,1010,254
"06-Jul",NA,335,236,1390,909,227
"07-Jul",NA,1040,205,1130,689,346
"08-Jul",NA,1210,260,768,615,259
"09-Jul",NA,2250,182,767,456,206
"10-Jul",NA,1370,163,673,402,186
"11-Jul",NA,1240,133,730,321,187
"12-Jul",NA,908,110,737,266,185
"13-Jul",NA,958,84,991,207,174
"14-Jul",NA,641,75.6,1160,185,145
"15-Jul",NA,208,73.4,1280,171,130
"16-Jul",NA,147,69.5,1180,154,120
"17-Jul",NA,97,62.5,739,143,116
"18-Jul",NA,93.7,57,538,131,89.2
"19-Jul",NA,158,52.2,665,123,76.5
"20-Jul",NA,99.8,47.6,921,114,72.3
"21-Jul",NA,67.4,44.4,818,109,62.2
"22-Jul",NA,62.5,40.9,678,104,57.8
"23-Jul",NA,65.8,43.9,1050,99.7,44.5
"24-Jul",NA,63.5,58.4,931,186,90.5
"25-Jul",NA,56.6,148,1120,187,256
"26-Jul",NA,113,110,772,169,501
"27-Jul",NA,252,179,748,198,432
"28-Jul",NA,849,107,586,167,731
"29-Jul",NA,1110,58.9,515,142,626
"30-Jul",NA,1590,55.1,297,147,553
"31-Jul",NA,2260,76.5,265,140,462
"01-Aug",NA,3020,92.3,226,159,547
"02-Aug",NA,2900,135,207,125,662
"03-Aug",NA,2890,253,194,133,775
"04-Aug",NA,3230,183,176,126,779
"05-Aug",NA,2760,123,292,98.6,806
"06-Aug",NA,1710,105,528,83.9,1010
"07-Aug",NA,3780,362,448,80.2,947
"08-Aug",NA,3970,319,569,81.1,784
"09-Aug",NA,2690,255,397,64.8,575
"10-Aug",NA,3760,187,515,68.4,400
"11-Aug",NA,3970,193,581,68.3,338
"12-Aug",NA,2100,159,349,67.8,251
"13-Aug",NA,1040,161,306,67.3,200
"14-Aug",NA,1040,71,261,67,155
"15-Aug",NA,1550,30.2,239,66,140
"16-Aug",NA,1850,25.5,177,64.7,380
"17-Aug",NA,2250,26.6,321,130,265
"18-Aug",NA,2200,26.6,417,129,197
"19-Aug",NA,1780,26.5,586,109,526
"20-Aug",NA,2310,26.7,383,97.5,338
"21-Aug",NA,1660,27.1,363,70.6,253
"22-Aug",NA,2010,25.7,295,60.8,192
"23-Aug",NA,2350,26,249,61.7,174
"24-Aug",NA,3270,29,215,113,201
"25-Aug",NA,3070,34.8,194,94,167
"26-Aug",NA,2810,28.8,192,144,156
"27-Aug",NA,1290,30.2,192,180,141
"28-Aug",NA,1250,29.4,170,160,111
"29-Aug",NA,949,37,160,133,98.2
"30-Aug",NA,677,92,153,112,91.2
"31-Aug",NA,515,177,180,98.2,123
"01-Sep",NA,428,228,308,81,87.4
"02-Sep",NA,422,359,308,60.6,79.6
"03-Sep",NA,363,301,636,57.2,88.6
"04-Sep",NA,374,335,528,55.5,77.1
"05-Sep",NA,261,266,403,58.9,67.3
"06-Sep",NA,252,127,404,56.7,58.8
"07-Sep",NA,294,123,314,65.3,50.3
"08-Sep",NA,356,175,249,68.4,44.2
"09-Sep",NA,380,124,224,86.5,43.3
"10-Sep",NA,664,126,305,71,41.6
"11-Sep",NA,628,103,213,66,42.6
"12-Sep",NA,486,153,267,91.5,41.2
"13-Sep",NA,453,92.1,274,119,40.7
"14-Sep",NA,391,63.8,246,167,41.5
"15-Sep",NA,310,50.3,218,154,40.1
"16-Sep",NA,253,47,195,135,39.2
"17-Sep",NA,206,41.1,166,679,37.6
"18-Sep",NA,155,38.2,173,523,33.1
"19-Sep",NA,136,36.3,159,859,32.7
"20-Sep",NA,127,42.9,159,730,34.9
