"day","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"01-Jan",84,125,530,176,270,173,210,77,304,199,183,140,71,328,122,214,520,482,160,240,107,145,600,398,550,170,180,10,470,100,390,110,198,270,248,290,810,888,121,35,80,65,239,160,400,443,559,327,500,648,470,700,590,350,100,850,1160,346,373,870,961
"02-Jan",85,125,528,176,334,173,220,73,375,203,174,132,74,352,126,214,550,489,152,240,107,145,590,395,540,168,180,10,470,100,390,110,222,300,250,282,810,856,154,38,80,65,239,160,420,437,568,328,490,626,470,690,570,335,100,845,1190,334,368,825,954
"03-Jan",98,131,540,169,412,173,233,72,375,196,170,132,77,352,134,209,530,475,141,240,114,140,585,392,520,168,180,10,470,100,390,100,224,330,250,278,800,804,161,37,75,65,239,155,480,402,560,334,490,626,470,690,550,340,110,835,1230,324,364,760,939
"04-Jan",88,137,523,176,372,200,225,70,347,193,190,128,80,352,138,204,500,475,152,240,125,140,580,390,510,164,185,10,470,100,390,85,205,342,232,270,800,758,151,41,72,65,239,155,520,376,581,362,490,604,460,690,550,355,125,820,1240,335,363,690,922
"05-Jan",78,148,550,176,412,208,225,70,347,190,180,124,80,352,142,198,460,462,165,240,148,140,575,386,500,164,190,10,440,100,390,80,203,330,235,260,800,770,166,35,72,65,239,157,580,370,488,348,500,583,460,690,650,365,130,800,1250,350,370,618,921
"06-Jan",78,142,528,169,396,204,233,72,347,196,170,128,70,358,147,193,500,449,165,240,152,140,575,384,490,162,190,10,435,100,390,80,222,320,250,250,800,798,182,36,85,70,237,160,600,360,445,338,500,582,460,690,690,365,130,785,1260,386,411,589,910
"07-Jan",93,145,551,154,406,222,225,73,304,209,157,132,60,352,138,219,480,442,165,240,165,140,575,382,480,162,195,10,435,100,390,80,229,320,252,228,800,798,203,42,100,70,235,160,610,340,430,323,500,582,460,690,680,365,130,770,1260,420,451,545,903
"08-Jan",86,148,506,140,367,249,215,66,281,222,180,132,60,346,138,204,470,442,165,240,169,140,575,380,470,160,200,10,435,100,390,80,225,320,260,225,790,778,182,43,100,75,235,165,620,330,424,312,490,581,455,690,660,365,130,760,1260,435,475,550,899
"09-Jan",78,142,523,144,406,261,206,66,265,222,200,128,60,346,142,204,450,410,152,240,165,140,575,380,470,155,200,10,435,100,330,80,245,320,260,224,780,710,181,44,96,78,230,165,620,290,461,326,490,580,455,690,650,360,130,750,1240,445,479,590,893
"10-Jan",80,185,528,154,386,257,221,63,251,258,240,124,60,334,138,204,440,392,156,240,165,140,575,380,460,152,210,10,410,100,280,80,255,300,255,232,780,667,202,49,100,80,220,170,630,250,490,350,480,599,455,690,650,360,130,740,1240,420,468,650,896
