"day","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"01-Jan",960,1950,1600,600,820,690,400,440,1200,310,480,280,200,1460,780,915,2100,1800,630,1500,1400,1100,2450,1200,1940,1310,1740,215,1340,740,1360,305,1200,1470,1780,1440,1880,1970,576,278,143,180,442,840,1680,2000,2160,2060,2000,1690,2300,2800,2010,1280,580,1910,3250,820,980,1980,2180
"02-Jan",940,1950,1600,600,820,680,400,450,1150,340,500,290,200,1420,780,905,2050,1750,630,1500,1400,1100,2400,1200,1900,1310,1740,215,1340,735,1360,300,1200,1470,1770,1380,1870,1970,547,281,147,185,454,830,1600,1950,2130,2070,1930,1680,2250,2800,2000,1250,590,1850,3280,841,982,2000,2160
"03-Jan",920,1950,1600,600,820,700,410,450,1160,350,550,290,200,1440,780,900,2000,1750,620,1500,1400,1100,2400,1190,1860,1310,1740,215,1340,735,1360,300,1200,1520,1760,1400,1890,1970,520,282,151,194,471,800,1550,1900,2120,2030,1800,1670,2250,2750,1990,1200,600,1800,3300,862,990,2000,2140
"04-Jan",900,1950,1600,620,820,690,410,460,1170,350,560,290,210,1460,770,900,2000,1750,610,1500,1400,1100,2350,1190,1860,1310,1730,215,1350,730,1360,300,1200,1530,1770,1410,1870,1940,514,281,155,200,475,760,1500,1800,2110,2020,1700,1660,2250,2700,1980,1200,600,1740,3320,869,1030,1980,2120
"05-Jan",880,1950,1600,620,820,670,420,440,1180,350,540,290,230,1460,770,900,2000,1750,600,1500,1400,1100,2350,1180,1820,1300,1730,215,1350,730,1350,300,1200,1520,1770,1400,1840,1860,510,280,155,200,476,750,1550,1800,2120,1970,1700,1650,2250,2700,1950,1170,600,1690,3350,839,1050,1950,2120
"06-Jan",860,1900,1600,620,820,680,420,430,1220,350,520,290,220,1480,770,900,2000,1800,590,1500,1400,1100,2300,1170,1820,1300,1730,215,1340,725,1350,300,1190,1560,1770,1370,1850,1860,510,276,159,200,480,750,1550,1750,2120,1970,1690,1650,2200,2700,1980,1140,590,1620,3380,828,1050,1910,2090
"07-Jan",860,1950,1600,620,820,680,430,420,1240,350,500,300,220,1520,770,900,2000,1750,580,1500,1350,1100,2300,1170,1810,1300,1730,215,1330,725,1350,300,1180,1590,1760,1380,1840,1860,502,271,163,200,486,740,1600,1700,2220,1910,1690,1650,2200,2700,1940,1180,580,1620,3400,819,1050,1840,2060
"08-Jan",840,1900,1600,600,820,680,430,440,1250,350,500,300,225,1540,770,895,2000,1750,580,1500,1350,1100,2200,1140,1780,1320,1720,215,1330,720,1340,300,1170,1650,1730,1390,1850,1850,487,266,159,193,495,730,1600,1700,2240,1910,1700,1650,2200,2700,1970,1070,570,1630,3400,816,1040,1770,2020
"09-Jan",840,1900,1600,580,820,690,440,460,1250,350,500,300,230,1560,780,895,1950,1750,580,1500,1300,1100,2100,1120,1740,1320,1720,215,1320,720,1340,300,1160,1660,1730,1410,1870,1850,462,262,163,185,491,740,1650,1700,2240,1940,1700,1660,2200,2700,2160,1110,560,1640,3400,817,1030,1680,1990
"10-Jan",840,1900,1650,580,820,700,460,450,1250,350,500,300,220,1540,780,895,1950,1750,580,1500,1300,1100,2000,1100,1740,1320,1720,215,1310,710,1340,290,1160,1690,1730,1410,1880,1850,444,262,159,185,526,750,1700,1750,2180,1930,1800,1670,2200,2700,2190,1170,550,1600,3410,813,1020,1600,1990
