"day","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"01-Jan",NA,1590,1800,16800,12200,15500,3740,6900,4650,9530,5050,12100,2250,3880,3830,2140,1110,4500,865,4700,7660,8620,5020,5570,36400,954,1180,13400,1350,7210,21700,14500,9020,11500,6110,20900,30700,23300,11400,7860,5930,13200,7800,1190,7950,42900,18400,3290,1990,5110,1330,20500,6630,14100,1990,5440,4860,3450,7890,7000,16600,8000,849,7130,4110,23800,12400,2800,3060,19800,892,7520,11800,12200,13300,29800,6180,11100,12100,NA
"02-Jan",NA,1340,1590,15600,11000,12400,7080,6350,4210,14500,4620,11000,2170,7390,3560,2020,1040,4700,839,4300,6820,8380,5900,4580,32400,826,1150,12400,2220,6120,19900,14100,9320,9680,9790,19200,32000,23100,12400,8260,5210,14300,5920,1190,6820,41600,17600,2870,1790,4400,3190,19500,7380,13400,1980,4780,6670,3320,10500,6700,15300,11000,910,7610,3410,23600,11900,3160,2660,17300,834,7610,10800,13600,10900,30300,5990,10200,9240,9750
"03-Jan",NA,1340,1440,14600,12200,10400,6310,5690,4100,15200,3710,10700,2090,9890,3200,1740,1110,4800,800,3800,6110,7420,7800,4510,28800,750,1130,9940,3640,5070,18100,13200,9350,9880,11700,19800,33600,22500,13300,8470,4780,13500,5530,1180,7420,40900,17000,2740,1630,7690,2960,18000,8490,12600,1650,4350,7600,3650,9510,5900,13700,10700,4390,7350,2730,21800,11500,3000,2330,15400,730,8030,9690,11400,8680,29600,5660,17400,6830,11600
"04-Jan",NA,3890,1310,13500,11900,9360,4540,5360,5750,13700,3710,17000,2340,9340,3020,1580,1230,4600,763,3300,5560,6940,7440,4480,28700,710,1250,8250,7740,4350,18000,11700,9110,9650,17900,19600,34800,21500,13100,7550,4510,12200,6130,1150,7700,40300,16100,3070,1540,7750,2590,16100,14700,10600,1390,3990,7190,3880,7870,4800,12300,8500,3170,6780,2090,19500,10300,2630,2160,21500,697,9710,8660,10300,7130,27800,5050,21400,5400,7370
"05-Jan",NA,5300,1190,12300,9360,8710,3740,6130,12200,11500,3620,25600,28400,8950,2840,1460,1230,3900,738,2820,5010,6340,8760,4150,31500,760,1620,7700,10900,3840,17900,10700,10400,9520,20700,19100,35200,20500,12700,6700,3970,11400,6260,1130,6540,38800,14900,3050,1540,6640,2460,14200,20500,8260,1310,5520,6740,3170,7260,3850,12300,7290,2360,6080,2050,17000,12800,2500,2120,27000,697,13700,7310,10300,5500,25500,4880,21900,4870,NA
"06-Jan",NA,4430,1230,11100,7070,8840,3440,12000,14000,10500,3450,29700,57900,10600,2660,1380,1110,2940,726,2550,4680,6000,12300,3840,29000,804,2490,7020,9600,3140,17100,9870,13000,8830,20600,19100,35500,19400,11900,6160,3370,12400,5790,1290,5600,35800,13800,2920,1870,5860,2380,13400,24000,6630,1260,6180,6090,2780,7640,3910,28300,7700,1660,5430,5250,13800,15400,2510,2060,27400,686,23200,6050,10100,4190,23100,4760,20600,4390,NA
"07-Jan",NA,3300,1510,9820,6110,12000,3240,12900,12700,11800,3280,30100,55000,11600,2480,1300,1000,2400,691,2240,4350,5780,13000,8540,26200,788,2150,4690,8270,2520,17400,8050,13200,7040,19800,20700,35600,22500,11000,6580,3900,15600,5240,1660,6210,32000,12700,2810,1970,5300,2790,12500,28800,6370,1460,7090,5870,5070,9350,6830,35500,8950,1300,6160,6730,11200,14300,5320,1990,27500,652,27400,5510,8980,3530,20300,4150,18600,3870,NA
"08-Jan",NA,3300,1520,8330,5530,11400,3040,10900,13700,13700,3100,29700,50500,11300,2390,1420,932,2080,673,2060,3910,5230,11800,8170,23300,700,5870,3710,7940,1980,17500,5740,12700,5780,19100,22900,34300,23100,10300,9240,5570,17200,5760,2070,7370,27800,11300,2520,1980,5260,2830,12000,30700,6910,2390,8510,7410,6420,9710,14800,34600,10400,1150,6130,5660,10100,14000,8960,1600,26600,684,28400,5230,7570,4150,18200,2980,16900,4030,NA
"09-Jan",NA,3600,1310,7070,5190,7450,2740,8910,15000,14600,2930,28300,46300,10200,2390,3200,900,2040,657,2010,3580,4460,10700,5520,20800,720,6000,3630,7840,1740,19800,4580,12200,5410,24300,23900,31800,22300,10000,16000,6550,17400,6230,2100,7010,23600,9750,2160,1990,5450,2200,16000,31500,6840,2800,7850,7460,6090,9440,18300,32200,10100,1140,4690,5140,9040,16100,8130,1160,24900,1520,28000,4870,6500,8030,17900,2750,15300,5390,NA
"10-Jan",NA,5200,1150,6110,4630,5530,2450,7810,14100,15000,2760,26200,43000,9750,2300,4400,1500,3700,634,2010,3380,3800,9900,4420,18200,810,4350,4270,8010,1630,21900,4320,11200,5130,28600,24100,30200,27700,9820,17500,6790,16900,10700,2000,5770,20200,9170,2040,2110,5380,1740,17900,32100,13100,2590,7770,6840,5710,8940,18000,30000,9100,1130,4320,4850,8230,15800,7520,1150,22900,2060,27100,4470,5470,10600,21100,3340,13600,6010,NA
