"day","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"01-Jan",700,514,1200,640,434,469,570,369,754,550,524,465,714,1280,482,550,1030,471,599,688,758,711,728,664,1720,375,2130,438,453,552,611,1140,591,576,768,1080,1480,1320,641,680,510,669,906,821,918,1180,1110,734,932,821,749,532,583,406,495,671,834,800,647,753,708
"02-Jan",784,508,1000,613,447,454,548,383,734,700,488,435,691,1270,482,509,1030,504,622,646,676,722,776,677,1680,443,2040,435,437,433,658,1040,547,627,747,1040,1460,1310,613,704,510,718,847,825,920,941,1130,737,946,831,761,531,580,403,490,670,823,784,584,748,704
"03-Jan",817,547,800,591,462,464,511,349,740,611,430,403,686,1270,482,443,988,495,640,676,664,746,776,696,1410,430,2030,432,421,449,545,1200,497,624,670,936,1470,1290,625,725,559,747,742,857,910,849,1080,766,979,823,756,529,567,407,479,679,835,761,611,765,706
"04-Jan",682,520,560,596,466,495,486,369,767,524,420,415,648,1310,482,435,919,499,640,688,726,676,769,709,1190,410,2070,434,420,504,532,1220,416,638,669,919,1450,1290,673,749,541,789,878,798,886,872,1080,809,1020,791,696,529,546,420,475,725,837,762,660,786,698
"05-Jan",682,486,510,602,466,474,466,365,774,506,470,415,691,1290,448,504,867,564,605,695,695,585,555,722,1260,442,2120,437,418,535,566,1220,453,721,736,1010,1420,1370,778,792,532,820,922,751,900,919,1140,834,1010,761,689,546,557,440,455,731,780,766,648,795,692
"06-Jan",676,520,490,608,470,454,461,353,754,514,490,423,680,1240,422,545,873,584,576,707,658,550,512,689,1340,480,2110,448,446,590,588,1180,462,745,766,1020,1420,1490,771,794,501,842,923,753,928,949,1130,818,999,784,703,549,555,467,425,700,699,761,676,775,703
"07-Jan",694,508,558,665,482,439,506,344,740,621,470,435,691,893,448,601,890,533,565,695,720,530,674,657,1300,480,2110,447,460,614,612,709,523,736,747,1020,1430,1240,744,770,550,831,927,810,922,925,1110,718,992,788,702,549,566,465,463,667,684,722,734,756,706
"08-Jan",780,486,622,683,503,479,538,361,747,591,510,452,725,700,422,1090,907,514,611,707,804,520,655,677,1310,490,2090,443,409,553,617,628,494,743,730,1080,1390,1150,700,685,602,824,877,963,871,990,1120,507,969,801,675,540,575,466,528,718,682,675,685,783,694
"09-Jan",760,481,616,671,499,484,532,491,754,586,540,448,731,600,386,1700,902,495,588,739,791,580,623,689,1310,490,1840,437,405,500,621,587,481,744,734,1230,1380,1130,688,648,622,827,856,1230,905,962,1130,444,971,792,672,532,584,463,501,758,689,711,658,786,689
"10-Jan",750,481,558,671,495,459,548,447,740,571,600,431,632,550,382,1360,913,533,611,720,778,600,681,709,1320,490,1040,388,414,516,632,500,506,726,792,1190,1400,1020,698,722,593,983,835,1100,902,975,1130,660,969,780,677,565,597,472,481,759,679,708,663,799,677
"11-Jan",713,520,542,671,482,454,538,400,760,586,600,431,540,500,418,1100,931,564,616,714,765,620,688,683,1300,480,943,395,432,544,646,532,512,735,847,1160,1410,1000,716,760,539,1060,833,1070,870,938,1160,718,975,779,711,579,605,475,480,793,628,716,749,785,693
"12-Jan",700,525,592,683,474,449,538,387,781,596,660,440,530,470,374,850,925,553,605,752,825,640,681,645,1270,470,760,399,442,582,668,545,588,759,856,1140,1420,1010,726,782,523,1010,906,1210,828,956,1160,682,951,793,721,550,578,483,490,784,612,725,804,762,652
"13-Jan",713,536,628,708,478,434,532,418,754,596,660,452,560,400,348,740,925,558,571,765,811,660,742,645,1290,450,656,410,444,581,673,553,637,771,850,1150,1430,977,688,676,522,892,900,931,851,1020,1160,613,927,812,732,576,580,486,498,797,600,764,784,769,626
"14-Jan",658,514,1000,728,515,464,532,442,767,616,640,452,600,400,344,680,902,564,582,758,745,680,714,683,1320,428,591,414,435,525,693,605,559,761,849,1130,1430,949,669,647,532,872,867,857,856,1010,1220,638,946,789,704,556,581,491,501,730,601,772,763,766,632
"15-Jan",652,481,804,714,495,474,565,461,760,621,620,457,580,400,378,650,896,548,576,778,832,680,688,715,1300,443,580,409,422,556,714,616,537,761,838,1140,1580,980,691,695,536,870,842,925,861,990,1240,694,937,776,707,539,549,491,506,613,623,695,762,767,687
