"day","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"01-Jan",686,504,1240,632,492,400,586,370,764,510,583,514,695,1380,421,531,1160,520,680,734,728,875,861,696,1710,399,1720,470,572,600,578,1480,410,698,624,999,1620,1510,1090,765,610,720,932,1050,934,1110,1060,666,960,752,639,592,611,445,415,760,789,822,724,865,769
"02-Jan",802,510,1020,632,465,450,568,382,731,660,617,507,668,1380,474,580,1060,520,662,700,719,864,891,687,1720,374,1690,490,540,500,589,1410,506,490,624,1040,1620,1540,1090,808,603,721,934,1020,958,1070,1070,680,960,749,635,593,634,442,443,766,783,820,727,828,772
"03-Jan",788,510,874,606,470,470,542,376,720,706,539,471,660,1340,474,531,1020,520,670,696,655,820,943,636,1730,388,1640,490,484,469,654,1230,638,591,781,1070,1620,1580,1090,767,598,724,869,975,983,953,1140,715,956,750,640,593,678,442,513,789,803,759,646,675,773
"04-Jan",728,522,693,613,480,470,510,364,720,660,450,464,640,1230,474,464,960,540,660,697,677,720,834,732,1680,399,1640,470,484,477,623,1230,549,667,1030,862,1620,1480,1090,727,605,819,686,903,966,983,1140,734,970,777,658,589,661,441,514,832,838,662,533,530,771
"05-Jan",613,516,626,626,486,500,478,376,742,572,460,478,659,1280,464,464,924,560,650,708,665,620,587,741,1470,410,1660,460,475,584,570,1220,337,678,1010,970,1620,1410,1090,829,576,944,839,736,938,1050,1040,734,1130,862,636,558,607,441,511,859,837,722,538,575,771
"06-Jan",626,498,600,620,486,490,470,370,753,541,480,478,680,1170,421,540,924,580,653,703,673,450,500,750,1330,410,1670,465,476,560,568,1220,375,792,857,1030,1730,1400,1110,901,440,1020,1030,678,925,954,1000,749,1190,864,565,558,605,448,484,869,771,816,612,911,772
"07-Jan",606,504,594,652,492,470,518,364,720,561,500,471,695,994,430,650,900,560,620,713,629,300,537,669,1430,432,1720,450,495,613,588,1170,506,866,927,1080,1900,1400,1100,928,442,959,988,788,908,1080,1030,788,1120,852,582,557,603,471,419,768,667,782,856,916,772
"08-Jan",626,498,620,679,504,475,534,358,720,603,534,499,722,768,464,900,900,540,650,719,656,300,675,678,1450,484,1660,430,560,675,634,794,590,785,925,1060,1890,1390,1100,785,485,958,898,891,902,1110,1090,582,1050,836,618,564,628,485,403,644,664,644,895,928,744
"09-Jan",679,492,620,686,510,495,550,394,720,572,561,507,731,672,404,1700,912,540,640,744,753,350,683,714,1470,508,1660,450,499,562,686,758,500,735,913,1100,1890,1390,1100,536,575,953,900,1130,905,948,1250,546,1080,832,619,585,680,522,452,705,664,586,793,931,697
"10-Jan",714,465,613,700,504,490,559,470,731,561,566,492,686,605,404,1500,936,560,645,751,765,400,651,723,1450,540,1660,460,449,471,654,646,350,821,874,1160,1910,1380,1100,508,693,959,892,1130,920,1020,1270,538,1070,832,612,576,712,505,479,844,663,585,717,932,696
