# 44.746181953886854 -92.80049485924684 199
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-29 18:40:56 EST       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05344500 MISSISSIPPI RIVER AT PRESCOTT, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05344500
#            TS   parameter     statistic     Description
#         73581       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	73581_00060_00003	73581_00060_00003_cd
5s	15s	20d	14n	10s
USGS	05344500	1928-06-01	9900	A
USGS	05344500	1928-06-02	9500	A
USGS	05344500	1928-06-03	9890	A
USGS	05344500	1928-06-04	9270	A
USGS	05344500	1928-06-05	9060	A
USGS	05344500	1928-06-06	9060	A
USGS	05344500	1928-06-07	8660	A
USGS	05344500	1928-06-08	8660	A
USGS	05344500	1928-06-09	8660	A
USGS	05344500	1928-06-10	8450	A
USGS	05344500	1928-06-11	8050	A
USGS	05344500	1928-06-12	8050	A
USGS	05344500	1928-06-13	8250	A
USGS	05344500	1928-06-14	8250	A
USGS	05344500	1928-06-15	8450	A
USGS	05344500	1928-06-16	8250	A
USGS	05344500	1928-06-17	8660	A
USGS	05344500	1928-06-18	8450	A
USGS	05344500	1928-06-19	8660	A
USGS	05344500	1928-06-20	9060	A
USGS	05344500	1928-06-21	9890	A
USGS	05344500	1928-06-22	10500	A
USGS	05344500	1928-06-23	11100	A
USGS	05344500	1928-06-24	12000	A
USGS	05344500	1928-06-25	12000	A
USGS	05344500	1928-06-26	12400	A
USGS	05344500	1928-06-27	12600	A
USGS	05344500	1928-06-28	12800	A
USGS	05344500	1928-06-29	12600	A
USGS	05344500	1928-06-30	12600	A
USGS	05344500	1928-07-01	12800	A
USGS	05344500	1928-07-02	12800	A
USGS	05344500	1928-07-03	12000	A
USGS	05344500	1928-07-04	11300	A
USGS	05344500	1928-07-05	11100	A
USGS	05344500	1928-07-06	11100	A
USGS	05344500	1928-07-07	11500	A
USGS	05344500	1928-07-08	12200	A
USGS	05344500	1928-07-09	11500	A
USGS	05344500	1928-07-10	12000	A
USGS	05344500	1928-07-11	12800	A
USGS	05344500	1928-07-12	13500	A
USGS	05344500	1928-07-13	13700	A
USGS	05344500	1928-07-14	14100	A
USGS	05344500	1928-07-15	14100	A
USGS	05344500	1928-07-16	13300	A
USGS	05344500	1928-07-17	12600	A
USGS	05344500	1928-07-18	12600	A
USGS	05344500	1928-07-19	12600	A
USGS	05344500	1928-07-20	12400	A
USGS	05344500	1928-07-21	12000	A
USGS	05344500	1928-07-22	12000	A
USGS	05344500	1928-07-23	12400	A
USGS	05344500	1928-07-24	12800	A
USGS	05344500	1928-07-25	13700	A
USGS	05344500	1928-07-26	14100	A
USGS	05344500	1928-07-27	14100	A
USGS	05344500	1928-07-28	13700	A
USGS	05344500	1928-07-29	13300	A
USGS	05344500	1928-07-30	12000	A
USGS	05344500	1928-07-31	11100	A
USGS	05344500	1928-08-01	10900	A
USGS	05344500	1928-08-02	11100	A
USGS	05344500	1928-08-03	11500	A
USGS	05344500	1928-08-04	11500	A
USGS	05344500	1928-08-05	11300	A
USGS	05344500	1928-08-06	11100	A
USGS	05344500	1928-08-07	11500	A
USGS	05344500	1928-08-08	11500	A
USGS	05344500	1928-08-09	11500	A
USGS	05344500	1928-08-10	11300	A
USGS	05344500	1928-08-11	11100	A
USGS	05344500	1928-08-12	10700	A
USGS	05344500	1928-08-13	10500	A
USGS	05344500	1928-08-14	10300	A
USGS	05344500	1928-08-15	10300	A
USGS	05344500	1928-08-16	10100	A
USGS	05344500	1928-08-17	10300	A
USGS	05344500	1928-08-18	10100	A
USGS	05344500	1928-08-19	10100	A
USGS	05344500	1928-08-20	9890	A
USGS	05344500	1928-08-21	10100	A
USGS	05344500	1928-08-22	10700	A
USGS	05344500	1928-08-23	11700	A
USGS	05344500	1928-08-24	11700	A
USGS	05344500	1928-08-25	12000	A
USGS	05344500	1928-08-26	12400	A
USGS	05344500	1928-08-27	12600	A
USGS	05344500	1928-08-28	12800	A
USGS	05344500	1928-08-29	13300	A
USGS	05344500	1928-08-30	14100	A
USGS	05344500	1928-08-31	14600	A
USGS	05344500	1928-09-01	14600	A
USGS	05344500	1928-09-02	14800	A
USGS	05344500	1928-09-03	14600	A
USGS	05344500	1928-09-04	14100	A
USGS	05344500	1928-09-05	14100	A
USGS	05344500	1928-09-06	14600	A
