#44.05522887990648  -91.63620963509061 189 Distance 125.5km
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-29 18:42:31 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05378500 MISSISSIPPI RIVER AT WINONA, MN
# -----------------------------------------------------------------------------------
#
# Data provided for site 05378500
#            TS   parameter     statistic     Description
#         73676       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	73676_00060_00003	73676_00060_00003_cd
5s	15s	20d	14n	10s
USGS	05378500	1928-07-01	21300	A
USGS	05378500	1928-07-02	22900	A
USGS	05378500	1928-07-03	24000	A
USGS	05378500	1928-07-04	25600	A
USGS	05378500	1928-07-05	24000	A
USGS	05378500	1928-07-06	22900	A
USGS	05378500	1928-07-07	21300	A
USGS	05378500	1928-07-08	20800	A
USGS	05378500	1928-07-09	20800	A
USGS	05378500	1928-07-10	20300	A
USGS	05378500	1928-07-11	19900	A
USGS	05378500	1928-07-12	19100	A
USGS	05378500	1928-07-13	19100	A
USGS	05378500	1928-07-14	19100	A
USGS	05378500	1928-07-15	19100	A
USGS	05378500	1928-07-16	19500	A
USGS	05378500	1928-07-17	19500	A
USGS	05378500	1928-07-18	19500	A
USGS	05378500	1928-07-19	19900	A
USGS	05378500	1928-07-20	19900	A
USGS	05378500	1928-07-21	19900	A
USGS	05378500	1928-07-22	19900	A
USGS	05378500	1928-07-23	19900	A
USGS	05378500	1928-07-24	19500	A
USGS	05378500	1928-07-25	19100	A
USGS	05378500	1928-07-26	19100	A
USGS	05378500	1928-07-27	19100	A
USGS	05378500	1928-07-28	19100	A
USGS	05378500	1928-07-29	19100	A
USGS	05378500	1928-07-30	19100	A
USGS	05378500	1928-07-31	18700	A
USGS	05378500	1928-08-01	18300	A
USGS	05378500	1928-08-02	19900	A
USGS	05378500	1928-08-03	20300	A
USGS	05378500	1928-08-04	20800	A
USGS	05378500	1928-08-05	21300	A
USGS	05378500	1928-08-06	20800	A
USGS	05378500	1928-08-07	20300	A
USGS	05378500	1928-08-08	20300	A
USGS	05378500	1928-08-09	20300	A
USGS	05378500	1928-08-10	20300	A
